alpha;beta;||A||;||A^-1||;V(A);||z||;dzeta;||r||;ro;
1.000000e-01;1.000000e+00;7.887494e-12;6.318796e+03;4.549314e+05;1.145306e-13;1.151989e-14;7.549517e-15;7.593604e-16;
1.000000e-02;1.000000e+00;9.403796e-11;3.085967e+05;2.447054e+07;8.137935e-13;8.185425e-14;8.881784e-14;8.933656e-15;
1.000000e-03;1.000000e+00;8.744218e-10;4.750358e+06;3.801528e+08;5.449419e-12;5.481219e-13;2.253198e-13;2.266357e-14;
1.000000e-04;1.000000e+00;1.182042e-08;5.018373e+07;4.019674e+09;2.830593e-09;2.847111e-10;3.138689e-11;3.157020e-12;
1.000000e-05;1.000000e+00;1.899804e-07;5.046820e+08;4.042828e+10;2.408446e-09;2.422501e-10;1.041731e-10;1.047815e-11;
1.000000e-06;1.000000e+00;7.124712e-07;5.049682e+09;4.045157e+11;3.639170e-07;3.660407e-08;3.409242e-10;3.429153e-11;
1.000000e-07;1.000000e+00;1.130279e-05;5.049968e+10;4.045390e+12;2.153810e-06;2.166379e-07;9.582976e-08;9.638943e-09;
1.000000e-08;1.000000e+00;2.194033e-04;5.049997e+11;4.045414e+13;2.602213e-06;2.617399e-07;1.750372e-07;1.760595e-08;
1.000000e-09;1.000000e+00;1.834485e-03;5.050000e+12;4.045416e+14;2.762566e-06;2.778687e-07;3.718975e-07;3.740695e-08;
1.000000e-10;1.000000e+00;2.219133e-02;5.050000e+13;4.045416e+15;6.654691e-06;6.693525e-07;5.465564e-07;5.497484e-08;
1.000000e+00;1.000000e+01;9.784766e-12;6.318796e+02;4.549314e+05;4.187288e-13;4.211723e-14;7.105427e-14;7.146922e-16;
1.000000e+00;1.000000e+02;5.620420e-11;3.085967e+03;2.447054e+07;5.252567e-12;5.283219e-13;1.955414e-11;1.966834e-14;
1.000000e+00;1.000000e+03;5.573344e-10;4.750358e+03;3.801528e+08;1.360301e-10;1.368239e-11;3.844661e-09;3.867115e-13;
1.000000e+00;1.000000e+04;6.339688e-09;5.018373e+03;4.019674e+09;1.542945e-09;1.551949e-10;4.683970e-07;4.711326e-12;
1.000000e+00;1.000000e+05;6.872245e-08;5.046820e+03;4.042828e+10;3.617204e-08;3.638313e-09;3.383250e-05;3.403010e-11;
1.000000e+00;1.000000e+06;7.245745e-07;5.049682e+03;4.045157e+11;5.591419e-08;5.624048e-09;2.631145e-03;2.646511e-10;
1.000000e+00;1.000000e+07;7.257614e-06;5.049968e+03;4.045390e+12;1.301801e-06;1.309397e-07;5.535891e-01;5.568222e-09;
1.000000e+00;1.000000e+08;9.929579e-05;5.049997e+03;4.045414e+13;1.669017e-07;1.678757e-08;8.345087e+00;8.393825e-09;
1.000000e+00;1.000000e+09;1.020010e-03;5.050000e+03;4.045416e+14;1.688890e-06;1.698746e-07;8.192818e+01;8.240666e-09;
1.000000e+00;1.000000e+10;6.748452e-03;5.050000e+03;4.045416e+15;3.106123e-06;3.124249e-07;7.629925e+03;7.674486e-08;
