alpha;beta;||A||;||A^-1||;V(A);||z||;dzeta;||r||;ro;
1.000000e-01;1.000000e+00;4.328274e-15;1.559014e+01;1.559014e+01;1.776357e-15;1.786723e-16;4.440892e-16;4.467311e-17;
1.000000e-02;1.000000e+00;6.160318e-15;1.206361e+02;1.206361e+02;5.684342e-14;5.717513e-15;4.085621e-14;4.109973e-15;
1.000000e-03;1.000000e+00;2.963798e-14;1.029089e+03;1.029089e+03;2.270184e-12;2.283432e-13;1.376677e-13;1.384884e-14;
1.000000e-04;1.000000e+00;4.796898e-13;1.003039e+04;1.003039e+04;1.326894e-09;1.334637e-10;7.679191e-12;7.724971e-13;
1.000000e-05;1.000000e+00;2.108993e-12;1.000305e+05;1.000305e+05;1.499544e-09;1.508295e-10;3.282064e-11;3.301630e-12;
1.000000e-06;1.000000e+00;3.160800e-11;1.000031e+06;1.000031e+06;1.279106e-07;1.286571e-08;5.283507e-11;5.315005e-12;
1.000000e-07;1.000000e+00;6.852864e-10;1.000003e+07;1.000003e+07;1.292539e-06;1.300082e-07;2.871318e-08;2.888436e-09;
1.000000e-08;1.000000e+00;1.324990e-08;1.000000e+08;1.000000e+08;2.477265e-06;2.491721e-07;8.310579e-08;8.360124e-09;
1.000000e-09;1.000000e+00;1.117588e-08;1.000000e+09;1.000000e+09;2.759306e-06;2.775408e-07;1.849628e-07;1.860655e-08;
1.000000e-10;1.000000e+00;1.286479e-07;1.000000e+10;1.000000e+10;6.667385e-06;6.706294e-07;2.731382e-07;2.747666e-08;
1.000000e+00;1.000000e+01;3.842371e-15;1.559014e+00;1.559014e+01;1.332268e-15;1.340042e-16;3.552714e-15;3.573849e-17;
1.000000e+00;1.000000e+02;8.699750e-15;1.206361e+00;1.206361e+02;2.593481e-13;2.608616e-14;2.614797e-12;2.630382e-15;
1.000000e+00;1.000000e+03;3.761457e-14;1.029089e+00;1.029089e+03;8.160272e-11;8.207893e-12;2.371848e-09;2.385988e-13;
1.000000e+00;1.000000e+04;1.180314e-13;1.003039e+00;1.003039e+04;1.186617e-09;1.193541e-10;2.721354e-07;2.737577e-12;
1.000000e+00;1.000000e+05;3.470471e-12;1.000305e+00;1.000305e+05;1.033877e-08;1.039910e-09;2.696062e-06;2.712135e-12;
1.000000e+00;1.000000e+06;6.434916e-11;1.000031e+00;1.000031e+06;4.236069e-08;4.260789e-09;1.890482e-04;1.901753e-11;
1.000000e+00;1.000000e+07;5.370825e-10;1.000003e+00;1.000003e+07;7.811572e-07;7.857158e-08;1.658875e-01;1.668765e-09;
1.000000e+00;1.000000e+08;4.867993e-09;1.000000e+00;1.000000e+08;1.458997e-07;1.467511e-08;3.964592e+00;3.988227e-09;
1.000000e+00;1.000000e+09;3.556782e-08;1.000000e+00;1.000000e+09;1.682802e-06;1.692622e-07;4.059824e+01;4.084027e-09;
1.000000e+00;1.000000e+10;1.408040e-07;1.000000e+00;1.000000e+10;3.127444e-06;3.145694e-07;3.808786e+03;3.831492e-08;
