alpha;beta;||A||;||A^-1||;V(A);||z||;dzeta;||r||;ro;
1.000000e+00;1.000000e+01;9.784766e-12;6.318796e+02;4.549314e+05;2.445866e-11;2.465210e-12;5.002221e-12;1.379475e-15;
1.000000e+00;1.000000e+02;5.620420e-11;3.085967e+03;2.447054e+07;4.806071e-10;4.868642e-11;7.275958e-12;1.811228e-16;
1.000000e+00;1.000000e+03;5.573344e-10;4.750358e+03;3.801528e+08;8.853515e-09;8.855562e-10;1.746230e-10;4.187493e-16;
1.000000e+00;1.000000e+04;6.339688e-09;5.018373e+03;4.019674e+09;1.737094e-07;1.740860e-08;3.259629e-09;8.308467e-16;
1.000000e+00;1.000000e+05;6.872245e-08;5.046820e+03;4.042828e+10;9.307069e-07;9.309517e-08;7.450581e-09;1.942173e-16;
1.000000e+00;1.000000e+06;7.245745e-07;5.049682e+03;4.045157e+11;2.881333e-06;2.906739e-07;1.788139e-07;4.776601e-16;
1.000000e+00;1.000000e+07;7.257614e-06;5.049968e+03;4.045390e+12;2.522399e-04;2.539109e-05;2.384186e-06;5.574191e-16;
1.000000e+00;1.000000e+08;9.929579e-05;5.049997e+03;4.045414e+13;1.781260e-04;1.842439e-05;8.392334e-05;2.070230e-15;
1.000000e+00;1.000000e+09;1.020010e-03;5.050000e+03;4.045416e+14;9.555074e-03;9.564490e-04;1.220703e-04;3.011033e-16;
1.000000e+00;1.000000e+10;6.748452e-03;5.050000e+03;4.045416e+15;2.012222e-01;2.059254e-02;6.835938e-03;1.456212e-15;
1.000000e+00;1.000000e+11;6.613684e-02;5.050000e+03;4.045416e+16;9.311816e-01;9.317919e-02;3.906250e-02;1.049287e-15;
1.000000e+00;1.000000e+12;6.227510e-01;5.050000e+03;4.045416e+17;8.994806e+00;9.015109e-01;2.500000e-01;6.136065e-16;
1.000000e-01;1.000000e+00;7.887494e-12;6.318796e+03;4.549314e+05;1.508393e-11;1.518233e-12;2.273737e-13;6.087469e-16;
1.000000e-02;1.000000e+00;9.403796e-11;3.085967e+05;2.447054e+07;1.957660e-09;1.976674e-10;1.705303e-13;4.456928e-16;
1.000000e-03;1.000000e+00;8.744218e-10;4.750358e+06;3.801528e+08;1.850680e-09;1.858661e-10;5.115908e-13;1.213231e-15;
1.000000e-04;1.000000e+00;1.182042e-08;5.018373e+07;4.019674e+09;3.246058e-07;3.268845e-08;3.410605e-13;9.268786e-16;
1.000000e-05;1.000000e+00;1.899804e-07;5.046820e+08;4.042828e+10;1.719601e-06;1.720530e-07;3.410605e-13;8.044746e-16;
1.000000e-06;1.000000e+00;7.124712e-07;5.049682e+09;4.045157e+11;6.377673e-06;6.378051e-07;1.136868e-13;2.901681e-16;
1.000000e-07;1.000000e+00;1.130279e-05;5.049968e+10;4.045390e+12;2.333719e-04;2.410935e-05;2.842171e-13;8.055084e-16;
1.000000e-08;1.000000e+00;2.194033e-04;5.049997e+11;4.045414e+13;1.899825e-03;1.958378e-04;1.705303e-13;3.967457e-16;
1.000000e-09;1.000000e+00;1.834485e-03;5.050000e+12;4.045416e+14;5.236211e-02;5.247532e-03;2.842171e-13;6.239602e-16;
1.000000e-10;1.000000e+00;2.219133e-02;5.050000e+13;4.045416e+15;1.170733e-01;1.170983e-02;1.136868e-13;2.619487e-16;
1.000000e-11;1.000000e+00;8.578587e-02;5.050000e+14;4.045416e+16;6.339436e-01;6.386762e-02;2.842171e-13;6.943259e-16;
1.000000e-12;1.000000e+00;6.468716e-01;5.050000e+15;4.045416e+17;2.618632e+01;2.646531e+00;6.821210e-13;1.702517e-15;
