alpha;beta;||A||;||A^-1||;V(A);||z||;dzeta;||r||;ro;
1.000000e-01;1.000000e+00;4.328274e-15;1.559014e+01;1.559014e+01;1.953993e-14;1.975361e-15;7.993606e-15;8.438091e-16;
1.000000e-02;1.000000e+00;6.160318e-15;1.206361e+02;1.206361e+02;4.618528e-14;4.669035e-15;1.509903e-14;1.600935e-15;
1.000000e-03;1.000000e+00;2.963798e-14;1.029089e+03;1.029089e+03;1.243450e-13;1.257048e-14;1.243450e-14;1.319003e-15;
1.000000e-04;1.000000e+00;4.796898e-13;1.003039e+04;1.003039e+04;4.408918e-12;4.457132e-13;1.065814e-14;1.130624e-15;
1.000000e-05;1.000000e+00;2.108993e-12;1.000305e+05;1.000305e+05;1.469935e-11;1.486010e-12;1.421085e-14;1.507505e-15;
1.000000e-06;1.000000e+00;3.160800e-11;1.000031e+06;1.000031e+06;7.113954e-11;7.191750e-12;1.421085e-14;1.507506e-15;
1.000000e-07;1.000000e+00;6.852864e-10;1.000003e+07;1.000003e+07;7.115641e-11;7.193456e-12;1.776357e-14;1.884383e-15;
1.000000e-08;1.000000e+00;1.324990e-08;1.000000e+08;1.000000e+08;1.061339e-08;1.072946e-09;8.881784e-15;9.421914e-16;
1.000000e-09;1.000000e+00;1.117588e-08;1.000000e+09;1.000000e+09;5.500533e-07;5.560686e-08;1.421085e-14;1.507506e-15;
1.000000e-10;1.000000e+00;1.286479e-07;1.000000e+10;1.000000e+10;6.143810e-09;6.210997e-10;1.243450e-14;1.319068e-15;
1.000000e+00;1.000000e+01;3.842371e-15;1.559014e+00;1.559014e+01;8.881784e-15;8.978913e-16;8.526513e-14;9.000630e-16;
1.000000e+00;1.000000e+02;8.699750e-15;1.206361e+00;1.206361e+02;8.881784e-14;8.978913e-15;7.958079e-13;8.437872e-16;
1.000000e+00;1.000000e+03;3.761457e-14;1.029089e+00;1.029089e+03;1.043610e-13;1.055022e-14;1.364242e-11;1.447135e-15;
1.000000e+00;1.000000e+04;1.180314e-13;1.003039e+00;1.003039e+04;1.034728e-13;1.046043e-14;1.309672e-10;1.389311e-15;
1.000000e+00;1.000000e+05;3.470471e-12;1.000305e+00;1.000305e+05;9.752643e-12;9.859295e-13;8.731149e-10;9.262113e-16;
1.000000e+00;1.000000e+06;6.434916e-11;1.000031e+00;1.000031e+06;5.350920e-11;5.409436e-12;1.024455e-08;1.086755e-15;
1.000000e+00;1.000000e+07;5.370825e-10;1.000003e+00;1.000003e+07;4.334051e-09;4.381447e-10;1.341105e-07;1.422661e-15;
1.000000e+00;1.000000e+08;4.867993e-09;1.000000e+00;1.000000e+08;3.781286e-08;3.822637e-09;1.192093e-06;1.264588e-15;
1.000000e+00;1.000000e+09;3.556782e-08;1.000000e+00;1.000000e+09;2.652143e-08;2.681146e-09;8.583069e-06;9.105033e-16;
1.000000e+00;1.000000e+10;1.408040e-07;1.000000e+00;1.000000e+10;1.435441e-06;1.451139e-07;7.629395e-05;8.093362e-16;
