alpha;beta;||A||;||A^-1||;V(A);||z||;dzeta;||r||;ro;
1.000000e+00;1.000000e+01;3.842371e-15;1.559014e+00;1.559014e+01;4.529710e-14;4.537161e-15;1.563194e-13;1.764283e-15;
1.000000e+00;1.000000e+02;8.699750e-15;1.206361e+00;1.206361e+02;6.128431e-14;6.171154e-15;1.250555e-12;1.261387e-15;
1.000000e+00;1.000000e+03;3.761457e-14;1.029089e+00;1.029089e+03;3.659295e-13;3.744118e-14;1.000444e-11;1.041248e-15;
1.000000e+00;1.000000e+04;1.180314e-13;1.003039e+00;1.003039e+04;9.521273e-13;9.535782e-14;1.746230e-10;1.761038e-15;
1.000000e+00;1.000000e+05;3.470471e-12;1.000305e+00;1.000305e+05;2.956813e-11;2.967683e-12;1.513399e-09;1.589077e-15;
1.000000e+00;1.000000e+06;6.434916e-11;1.000031e+00;1.000031e+06;1.607159e-10;1.637546e-11;1.117587e-08;1.170671e-15;
1.000000e+00;1.000000e+07;5.370825e-10;1.000003e+00;1.000003e+07;9.334680e-10;9.367540e-11;1.639128e-07;1.664775e-15;
1.000000e+00;1.000000e+08;4.867993e-09;1.000000e+00;1.000000e+08;1.399304e-08;1.458497e-09;1.430511e-06;1.620471e-15;
1.000000e+00;1.000000e+09;3.556782e-08;1.000000e+00;1.000000e+09;3.548123e-07;3.549312e-08;1.144409e-05;1.176828e-15;
1.000000e+00;1.000000e+10;1.408040e-07;1.000000e+00;1.000000e+10;1.690138e-06;1.710920e-07;1.373291e-04;1.414356e-15;
1.000000e+00;1.000000e+11;1.588171e-06;1.000000e+00;1.000000e+11;2.571343e-06;2.607379e-07;1.403809e-03;1.528454e-15;
1.000000e+00;1.000000e+12;1.589470e-05;1.000000e+00;1.000000e+12;7.194835e-06;7.258445e-07;1.171875e-02;1.223235e-15;
1.000000e+00;1.000000e+13;1.556910e-03;1.000000e+00;1.000000e+13;5.844905e-03;5.852073e-04;1.484375e-01;1.564287e-15;
1.000000e+00;1.000000e+14;8.881129e-03;1.000000e+00;1.000000e+14;3.132237e-02;3.153267e-03;7.656250e-01;7.886897e-16;
1.000000e+00;1.000000e+15;4.110769e-02;1.000000e+00;1.000000e+15;1.667177e-01;1.698875e-02;8.000000e+00;8.637552e-16;
1.000000e+00;1.000000e+16;4.004827e-01;1.000000e+00;1.000000e+16;1.163625e+00;1.164220e-01;1.040000e+02;1.066421e-15;
1.000000e-01;1.000000e+00;4.328274e-15;1.559014e+01;1.559014e+01;4.263256e-14;4.299065e-15;1.243450e-14;1.390801e-15;
1.000000e-02;1.000000e+00;6.160318e-15;1.206361e+02;1.206361e+02;7.105427e-14;7.170187e-15;1.421085e-14;1.456380e-15;
1.000000e-03;1.000000e+00;2.963798e-14;1.029089e+03;1.029089e+03;6.412648e-13;6.849691e-14;1.598721e-14;1.745114e-15;
